"","API_Number","Document.Number","Receive.Date","Operator.Number","Operator","Address","City","State","Zip.Code","API.State.Code","API.County.Code","API.Sequence.Number","Well.Name","Well.Number","Qtr.Qtr","Section","Township","Range","Shut.In.Injection.well","Last.approved.MIT","Test.Type","Describe.Repairs.or.Other.Activities.","Injection.Producing.Zones","Perforation.Interval","Open.Hole.Interval","Bridge.Cement.Plug.Depth","Test.Date","Well.Status.during.test","Casing.Before","Initial.Tubing","Final.Tubing","Start.Casing","X5.Min.Casing","X10.Min.Casing","Final.Casing","Loss.or.Gain","Witness","Date.Submitted","Form.Status","Status.Date","Latitude","Longitude","Utm_X","Utm_Y"
"11","05-001-06084",1192035,"7/11/2003 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","P O BOX 8221                                      ","DENVER                        ","CO","80201-8221","05","001","06084","DOUBLE BAR O                       ","2-18           ","NESE  ",18,"1S    ","60W    ","INJECTION           ","7/16/2002 0:00:00","ANNUAL UIC TEST","-","DSND  ","6438-6443                     ","","","7/10/2003 0:00:00","IJ",0,55,55,375,374,372,370,-5,"Y","7/10/2003 0:00:00","APPROVED  ","7/11/2003 0:00:00",39.96221,-104.13462,573910,4423921
"12","05-001-06084",1237249,"6/6/2005 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06084","DOUBLE BAR O                       ","2-18           ","NESE  ",18,"1S    ","60W    ","INJECTION           ","6/2/2004 0:00:00","ANNUAL UIC TEST","-","DSND  ","6438-6443                     ","NA                       ","","5/27/2005 0:00:00","IJ",0,90,90,445,440,430,425,-20,"Y","5/27/2005 0:00:00","APPROVED  ","6/6/2005 0:00:00",39.96221,-104.13462,573910,4423921
"13","05-001-06084",1237312,"3/17/2006 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06084","DOUBLE BAR O                       ","2-18           ","NESE  ",18,"1S    ","60W    ","INJECTION           ","5/27/2005 0:00:00","ANNUAL UIC TEST","-","DSND  ","6438-6443                     ","","","3/14/2006 0:00:00","IJ",0,50,50,556,555,554,553,-3,"Y","3/14/2006 0:00:00","APPROVED  ","3/17/2006 0:00:00",39.96221,-104.13462,573910,4423921
"14","05-001-06094",1237313,"3/17/2006 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06094","UPRR-SANDEN-EHN                    ","1-17           ","SWSW  ",17,"1S    ","60W    ","SHUT-IN             ","","ANNUAL UIC TEST","-","DSND  ","6434-6440                     ","","","3/14/2006 0:00:00","PD",0,-1,-1,550,545,540,535,-15,"Y","3/14/2006 0:00:00","APPROVED  ","3/17/2006 0:00:00",39.95881,-104.13055,574261,4423547
"15","05-001-06115",1237272,"8/11/2005 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06115","UPRR-LINNEBUR                      ","2-19           ","NENE  ",19,"1S    ","60W    ","INJECTION           ","6/2/2004 0:00:00","ANNUAL UIC TEST","TUBING/PACKER LEAK-HOLES IN THE TUBING, BAD JOINTS WERE REPLACED","DSND  ","6446-6454                     ","NA                       ","","7/26/2005 0:00:00","IJ",0,310,310,595,595,595,595,0,"Y","7/26/2005 0:00:00","APPROVED  ","8/11/2005 0:00:00",39.95548,-104.13478,573903,4423174
"16","05-001-06115",1237310,"3/17/2006 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06115","UPRR-LINNEBUR                      ","2-19           ","NENE  ",19,"1S    ","60W    ","INJECTION           ","7/26/2005 0:00:00","ANNUAL UIC TEST","-","DSND  ","6446-6454                     ","","","3/14/2006 0:00:00","IJ",0,55,55,550,545,540,535,-15,"Y","3/14/2006 0:00:00","APPROVED  ","3/17/2006 0:00:00",39.95548,-104.13478,573903,4423174
"17","05-001-06115",1192034,"7/11/2003 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","P O BOX 8221                                      ","DENVER                        ","CO","80201-8221","05","001","06115","UPRR-LINNEBUR                      ","2-19           ","NENE  ",19,"1S    ","60W    ","INJECTION           ","7/16/2002 0:00:00","ANNUAL UIC TEST","-","DSND  ","6446-6454                     ","NA                       ","","7/10/2003 0:00:00","IJ",40,50,50,370,365,360,360,-10,"Y","7/10/2003 0:00:00","APPROVED  ","7/11/2003 0:00:00",39.95548,-104.13478,573903,4423174
"18","05-001-06115",1125316,"9/3/2003 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","P O BOX 8221                                      ","DENVER                        ","CO","80201-8221","05","001","06115","UPRR-LINNEBUR                      ","2-19           ","NENE  ",19,"1S    ","60W    ","INJECTION           ","7/27/1999 0:00:00","ANNUAL UIC TEST","-","DSND  ","6446-6454                     ","","","6/19/2000 0:00:00","IJ",0,50,50,350,345,345,345,-5,"Y","6/19/2000 0:00:00","APPROVED  ","6/19/2000 0:00:00",39.95548,-104.13478,573903,4423174
"19","05-001-06115",200036739,"3/27/2003 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","P O BOX 8221                                      ","DENVER                        ","CO","80201-8221","05","001","06115","UPRR-LINNEBUR                      ","2-19           ","NENE  ",19,"1S    ","60W    ","INJECTION           ","7/3/2001 0:00:00","OTHER","-","DSND  ","6446-6454                     ","NA                       ","NA    ","7/16/2002 0:00:00","IJ",0,120,120,365,365,365,365,0,"Y","7/16/2002 0:00:00","APPROVED  ","7/16/2002 0:00:00",39.95548,-104.13478,573903,4423174
"20","05-001-06115",1237198,"6/3/2004 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06115","UPRR-LINNEBUR                      ","2-19           ","NENE  ",19,"1S    ","60W    ","INJECTION           ","7/10/2003 0:00:00","ANNUAL UIC TEST","-","DSND  ","6446-6454                     ","NA                       ","","6/2/2004 0:00:00","IJ",0,0,0,425,424,423,422,-3,"Y","6/2/2004 0:00:00","APPROVED  ","6/3/2004 0:00:00",39.95548,-104.13478,573903,4423174
"21","05-001-06133",1192033,"7/11/2003 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","P O BOX 8221                                      ","DENVER                        ","CO","80201-8221","05","001","06133","UPRR- EHN                          ","12-17          ","SWNW  ",17,"1S    ","60W    ","INJECTION           ","10/23/2002 0:00:00","ANNUAL UIC TEST","-","DSND  ","6412-6416                     ","NA                       ","","7/10/2003 0:00:00","IJ",0,55,55,375,365,355,350,-25,"Y","7/10/2003 0:00:00","APPROVED  ","7/11/2003 0:00:00",39.96611,-104.12992,574307,4424358
"22","05-001-06133",1237199,"6/3/2004 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06133","UPRR-EHN                           ","12-17          ","SWNW  ",17,"1S    ","60W    ","INJECTION           ","7/10/2003 0:00:00","ANNUAL UIC TEST","-","DSND  ","6412-6416                     ","NA                       ","","6/2/2004 0:00:00","IJ",0,120,120,440,430,420,405,-35,"Y","6/2/2004 0:00:00","APPROVED  ","6/3/2004 0:00:00",39.96611,-104.12992,574307,4424358
"23","05-001-06133",1245304,"1/8/2003 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","P O BOX 8221                                      ","DENVER                        ","CO","80201-8221","05","001","06133","UPRR- EHN                          ","12-17          ","SWNW  ",17,"1S    ","60W    ","INJECTION           ","7/1/2001 0:00:00","VERIFICATION OF REPAIRS","TUBING/PACKER LEAK-PULLED TBG & BPKR.  
TESTED TBG AND PKR BACK IN TO 6000 PSI;
REPLACED BAD JT'S RESET PACKER, TEST CASING","DSND  ","6512-6519                     ","","","10/23/2002 0:00:00","SI",0,-1,-1,496,480,460,450,46,"N","10/25/2002 0:00:00","APPROVED  ","12/31/2002 0:00:00",39.96611,-104.12992,574307,4424358
"24","05-001-06133",1125315,"9/3/2003 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","P O BOX 8221                                      ","DENVER                        ","CO","80201-8221","05","001","06133","UPRR- EHN                          ","12-17          ","SWNW  ",17,"1S    ","60W    ","INJECTION           ","7/27/1999 0:00:00","ANNUAL UIC TEST","-","DSND  ","6412-6416                     ","","","6/19/2000 0:00:00","IJ",0,70,65,350,340,330,320,-30,"Y","6/19/2000 0:00:00","APPROVED  ","6/19/2000 0:00:00",39.96611,-104.12992,574307,4424358
"25","05-001-06133",1237311,"3/17/2006 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06133","UPRR-EHN                           ","12-17          ","SWNW  ",17,"1S    ","60W    ","INJECTION           ","6/2/2004 0:00:00","SI/TA MAINTENANCE STATUS","-","DSND  ","6412-6519                     ","","6192  ","3/14/2006 0:00:00","TA",0,NA,NA,400,380,370,360,-40,"Y","3/14/2006 0:00:00","APPROVED  ","3/17/2006 0:00:00",39.96611,-104.12992,574307,4424358
"26","05-001-06142",1237314,"3/17/2006 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06142","UPRR-SANDEN-EHN                    ","2-17           ","NESW  ",17,"1S    ","60W    ","INJECTION           ","","ANNUAL UIC TEST","-","DSND  ","6410-6422                     ","","","3/14/2006 0:00:00","PD",0,-1,-1,553,553,553,553,0,"Y","3/14/2006 0:00:00","APPROVED  ","3/17/2006 0:00:00",39.96216,-104.12561,574679,4423923
"27","05-001-06146",401666843,"6/11/2018 14:13:20",10548,"HRM RESOURCES II LLC                              ","410 17TH STREET #1600                             ","DENVER                        ","CO","80202     ","05","001","06146","KUNCE                              ","1-20           ","NENW  ",20,"1S    ","60W    ","SHUT-IN             ","6/6/2013 0:00:00","SI/TA MAINTENANCE STATUS","-","DSND  ","6412-6426                     ","                         ","6362  ","6/4/2018 0:00:00","TA",0,NA,NA,500,500,500,500,0,"N","6/11/2018 14:13:20","APPROVED  ","6/20/2018 13:16:28",39.95523,-104.1256,574688,4423154
"28","05-001-06146",1237200,"6/3/2004 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06146","KUNCE                              ","1-20           ","NENW  ",20,"1S    ","60W    ","SHUT-IN             ","7/1/1998 0:00:00","SI/TA MAINTENANCE STATUS","-","DSND  ","6412-6426                     ","NA                       ","6370  ","6/2/2004 0:00:00","TA",0,NA,NA,360,360,360,360,0,"Y","6/2/2004 0:00:00","APPROVED  ","6/3/2004 0:00:00",39.95523,-104.1256,574688,4423154
"29","05-001-06170",200036738,"3/27/2003 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","P O BOX 8221                                      ","DENVER                        ","CO","80201-8221","05","001","06170","EHN                                ","3-20           ","NENE  ",20,"1S    ","60W    ","INJECTION           ","7/3/2001 0:00:00","OTHER","-","DSND  ","6364-6384                     ","NA                       ","NA    ","7/16/2002 0:00:00","AC",0,120,120,350,350,350,350,0,"Y","7/16/2002 0:00:00","APPROVED  ","7/16/2002 0:00:00",39.95545,-104.11606,575502,4423187
"30","05-001-06170",1192031,"7/11/2003 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","P O BOX 8221                                      ","DENVER                        ","CO","80201-8221","05","001","06170","EHN                                ","3-20           ","NENE  ",20,"1S    ","60W    ","INJECTION           ","7/16/2002 0:00:00","ANNUAL UIC TEST","-","DSND  ","6364-6384                     ","NA                       ","","7/10/2003 0:00:00","IJ",0,60,60,392,391,390,390,-2,"Y","7/10/2003 0:00:00","APPROVED  ","7/11/2003 0:00:00",39.95545,-104.11606,575502,4423187
"31","05-001-06170",1237185,"11/1/2004 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06170","EHN                                ","3-20           ","NENE  ",20,"1S    ","60W    ","INJECTION           ","7/10/2003 0:00:00","SI/TA MAINTENANCE STATUS","-tubing and packer were pulled out of hole and a bridge plug was set over the perfs","DSND  ","6364-6384                     ","","6314  ","10/27/2004 0:00:00","TA",0,NA,NA,395,395,395,395,0,"Y","10/27/2004 0:00:00","APPROVED  ","11/1/2004 0:00:00",39.95545,-104.11606,575502,4423187
"32","05-001-06170",1125317,"9/3/2003 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","P O BOX 8221                                      ","DENVER                        ","CO","80201-8221","05","001","06170","EHN                                ","3-20           ","NENE  ",20,"1S    ","60W    ","INJECTION           ","7/27/1999 0:00:00","ANNUAL UIC TEST","-","DSND  ","6364-6384                     ","","","6/19/2000 0:00:00","IJ",0,100,0,390,385,385,385,-5,"Y","6/19/2000 0:00:00","APPROVED  ","6/19/2000 0:00:00",39.95545,-104.11606,575502,4423187
"33","05-001-06197",402249159,"12/5/2019 8:23:54",74165,"RENEGADE OIL & GAS COMPANY LLC                    ","6155 S MAIN STREET #210                           ","AURORA                        ","CO","80016     ","05","001","06197","UPRR  PAN AM  24                   ","1              ","SWNW  ",35,"1S    ","64W    ","SHUT-IN             ","","SI/TA MAINTENANCE STATUS","-No repairs performed. Suspected a possible casing issue but none was found. Rods and pump pulled. Tubing pulled. Retrievable BP ran and set at 7799'. Performed test. RBP pulled. Production equipment run back in well.","JSND  ","7832-7838                     ","                         ","7799  ","11/25/2019 0:00:00","SI",0,NA,NA,501,501,500,500,-1,"N","12/5/2019 8:23:54","APPROVED  ","12/5/2019 9:14:34",39.92142,-104.52469,540619,4419144
"34","05-001-06276",401660695,"6/11/2018 13:48:58",10548,"HRM RESOURCES II LLC                              ","410 17TH STREET #1600                             ","DENVER                        ","CO","80202     ","05","001","06276","UPRR-EHN                           ","43-17          ","NESE  ",17,"1S    ","60W    ","SHUT-IN             ","6/6/2013 0:00:00","SI/TA MAINTENANCE STATUS","-","DSND  ","6373-6390                     ","                         ","6323  ","6/4/2018 0:00:00","TA",0,NA,NA,460,460,460,460,0,"N","6/11/2018 13:48:58","APPROVED  ","6/20/2018 13:16:27",39.96216,-104.11608,575493,4423931
"35","05-001-06276",1192032,"7/11/2003 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","P O BOX 8221                                      ","DENVER                        ","CO","80201-8221","05","001","06276","UPRR-EHN                           ","43-17          ","NESE  ",17,"1S    ","60W    ","INJECTION           ","7/16/2002 0:00:00","ANNUAL UIC TEST","-","DSND  ","6373-6390                     ","NA                       ","","7/10/2003 0:00:00","IJ",0,52,52,395,392,390,390,-5,"Y","7/10/2003 0:00:00","APPROVED  ","7/11/2003 0:00:00",39.96216,-104.11608,575493,4423931
"36","05-001-06276",200036740,"3/27/2003 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","P O BOX 8221                                      ","DENVER                        ","CO","80201-8221","05","001","06276","UPRR-EHN                           ","43-17          ","NESE  ",17,"1S    ","60W    ","INJECTION           ","7/3/2001 0:00:00","OTHER","-","DSND  ","6373-6390                     ","NA                       ","NA    ","7/16/2002 0:00:00","AC",0,120,120,360,355,355,355,5,"Y","7/16/2002 0:00:00","APPROVED  ","7/16/2002 0:00:00",39.96216,-104.11608,575493,4423931
"37","05-001-06276",1237248,"6/6/2005 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06276","UPRR-EHN                           ","43-17          ","NESE  ",17,"1S    ","60W    ","INJECTION           ","6/2/2004 0:00:00","ANNUAL UIC TEST","-","DSND  ","6373-6390                     ","NA                       ","","5/27/2005 0:00:00","IJ",0,95,95,485,485,485,485,0,"Y","5/27/2005 0:00:00","APPROVED  ","6/6/2005 0:00:00",39.96216,-104.11608,575493,4423931
"38","05-001-06276",1237315,"3/17/2006 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06276","UPRR-EHN                           ","43-17          ","NESE  ",17,"1S    ","60W    ","INJECTION           ","5/27/2005 0:00:00","ANNUAL UIC TEST","-","DSND  ","6373-6390                     ","","","3/14/2006 0:00:00","IJ",0,0,0,553,548,543,538,-15,"Y","3/14/2006 0:00:00","APPROVED  ","3/17/2006 0:00:00",39.96216,-104.11608,575493,4423931
"39","05-001-06276",1125314,"9/3/2003 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","P O BOX 8221                                      ","DENVER                        ","CO","80201-8221","05","001","06276","UPRR-EHN                           ","43-17          ","NESE  ",17,"1S    ","60W    ","INJECTION           ","7/27/1999 0:00:00","ANNUAL UIC TEST","-","DSND  ","6373-6390                     ","","","6/19/2000 0:00:00","IJ",0,100,0,400,400,400,400,0,"Y","6/19/2000 0:00:00","APPROVED  ","6/19/2000 0:00:00",39.96216,-104.11608,575493,4423931
"40","05-001-06276",1237196,"6/3/2004 0:00:00",66755,"PALADIN ENERGY PARTNERS LLC                       ","410 17TH ST STE 1200                              ","DENVER                        ","CO","80202     ","05","001","06276","UPRR-EHN                           ","43-17          ","NESE  ",17,"1S    ","60W    ","INJECTION           ","7/10/2003 0:00:00","ANNUAL UIC TEST","-","DSND  ","6373-6390                     ","NA                       ","","6/2/2004 0:00:00","IJ",0,95,95,460,460,460,460,0,"Y","6/2/2004 0:00:00","APPROVED  ","6/3/2004 0:00:00",39.96216,-104.11608,575493,4423931
"41","05-001-06322",401016487,"3/28/2016 16:42:07",79905,"SMITH OIL PROPERTIES INC                          ","PO BOX 219                                        ","BYERS                         ","CO","80103     ","05","001","06322","SALLY-SHORTY                       ","10             ","NENE  ",8,"3S    ","61W    ","SHUT-IN             ","","SI/TA MAINTENANCE STATUS","-","JSND  ","6821-6824                     ","                         ","      ","3/1/2016 0:00:00","SI",0,0,0,380,380,380,380,0,"Y","3/28/2016 16:42:07","APPROVED  ","3/31/2016 10:54:57",39.80986,-104.22897,565997,4406938
"42","05-001-06451",1726822,"10/8/2014 0:00:00",10261,"BAYSWATER EXPLORATION AND PRODUCTION LLC          ","730 17TH ST STE 610                               ","DENVER                        ","CO","80202     ","05","001","06451","DUMLER                             ","2-A            ","SESW  ",24,"2S    ","62W    ","SHUT-IN             ","","SI/TA MAINTENANCE STATUS","-","DJSND ","7054-7151                     ","","6950  ","5/28/2014 0:00:00","SI",0,0,0,506,517,531,544,38,"N","10/7/2014 0:00:00","APPROVED  ","12/22/2014 0:00:00",39.856733,-104.27515,562002,4412108
"43","05-001-06463",402235154,"11/21/2019 12:37:54",17320,"CITY & COUNTY OF DENVER                           ","8500 PENA BLVD CONCOUR A #4385                    ","DENVER                        ","CO","80249     ","05","001","06463","BOX ELDER                          ","A-1            ","NENE  ",12,"2S    ","66W    ","SHUT-IN             ","","SI/TA MAINTENANCE STATUS","-Ran MIT prior to Plugging, form 6 to follow","JSND  ","8324 - 8338                   ","                         ","8241  ","10/9/2019 0:00:00","TA",460,NA,NA,460,460,460,460,NA,"N","11/21/2019 12:37:54","APPROVED  ","11/22/2019 6:56:53",39.89752,-104.71704,524189,4416421
"44","05-001-06518",200411771,"9/10/2014 0:00:00",10110,"GREAT WESTERN OPERATING COMPANY LLC               ","1801 BROADWAY #500                                ","DENVER                        ","CO","80202     ","05","001","06518","REBA SHAW                          ","1              ","SWSW  ",15,"1S    ","66W    ","SHUT-IN             ","","SI/TA MAINTENANCE STATUS","-","JSND  ","8141--8146                    ","NA                       ","8058  ","8/14/2014 0:00:00","SI",0,615,664,615,630,648,664,49,"N","9/5/2014 0:00:00","APPROVED  ","9/10/2014 0:00:00",39.960659,-104.767504,519857,4423417
"45","05-001-06518",402110378,"7/16/2019 10:44:45",10110,"GREAT WESTERN OPERATING COMPANY LLC               ","1001 17TH STREET #2000                            ","DENVER                        ","CO","80202     ","05","001","06518","REBA SHAW                          ","1              ","SWSW  ",15,"1S    ","66W    ","SHUT-IN             ","8/14/2014 0:00:00","SI/TA MAINTENANCE STATUS","-","JSND  ","8138-8153'                    ","                         ","8080  ","7/15/2019 0:00:00","SI",0,0,430,428,425,424,423,-5,"N","7/16/2019 10:44:45","APPROVED  ","11/4/2019 14:23:24",39.960659,-104.767504,519857,4423417
"46","05-001-06527",402370149,"4/14/2020 11:07:50",10459,"EXTRACTION OIL & GAS INC                          ","370 17TH STREET SUITE 5300                        ","DENVER                        ","CO","80202     ","05","001","06527","CHAMPLIN 78 AMOCO A                ","1              ","NESE  ",35,"1S    ","65W    ","SHUT-IN             ","","SI/TA MAINTENANCE STATUS","-Perform pressure test on casing. RBP removed after test.","D-CDL ","7951' - 7962'                 ","                         ","7868  ","4/10/2020 0:00:00","SI",0,0,0,509,509,509,510,1,"N","4/14/2020 11:07:50","APPROVED  ","4/17/2020 7:02:32",39.9192,-104.62393,532139,4418857
